,Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,63da42ca341fdbe69b0c363a,5e4a9e0ade1012000aa3de0e,APPROVED,2023-02-01T10:45:30.442000Z,2023-02-01T12:08:43.202000Z,2023-02-01T14:09:27.229000,2023-02-01T12:08:43.962073Z,4993,CJ8EQCN9,339,English,Yes,37,Male,Black,Nigeria,United Kingdom,United Kingdom,Afrikaans,DATA_EXPIRED,DATA_EXPIRED
1,63da42d215bbb006c7025507,5f5503435d41a489068ff50b,APPROVED,2023-02-01T10:45:38.135000Z,2023-02-01T11:47:48.958000Z,2023-02-01T14:16:57.087000,2023-02-01T11:47:49.352346Z,3731,CJ8EQCN9,355,"English, Italian",Yes,20,Male,White,Italy,Italy,Italy,Italian,Yes,Other
2,63da7de96a0fcb66ce0c5c5e,60317fc2c8f6320ecde4bcb3,APPROVED,2023-02-01T14:57:45.191000Z,2023-02-01T16:41:17.042000Z,2023-02-01T16:57:36.746000,2023-02-01T16:41:18.850353Z,6212,CJ8EQCN9,406,"English, Italian",Yes,29,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
3,63da7ec6d3032fd176c997d9,5f5c0a54a38ae61d4c3b5b4c,APPROVED,2023-02-01T15:01:26.334000Z,2023-02-01T16:37:07.862000Z,2023-02-01T17:05:29.328000,2023-02-01T16:37:08.289884Z,5742,CJ8EQCN9,244,"English, Portuguese",Yes,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
0,63da43f0f2bbabd9fc802dd6,5f2843ca47f0291234bda8a4,APPROVED,2023-02-01T10:50:37.383000Z,2023-02-01T11:45:58.176000Z,2023-02-01T14:27:54.861000,2023-02-01T11:45:58.653987Z,3321,CJ8EQCN9,332,"Italian, English",Yes,29,Male,White,Italy,Italy,Italy,Italian,Yes,Other
1,63da45dfb306c2f7795bdf2b,5f983f3b00bbab0c4b28149a,APPROVED,2023-02-01T10:58:39.726000Z,2023-02-01T11:56:58.255000Z,2023-02-01T14:36:06.064000,2023-02-01T11:56:58.676155Z,3499,CJ8EQCN9,395,"English, Portuguese",Yes,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
2,63da7c7bd1d8b23ea2fb7704,5c573e54e9813700018acc31,APPROVED,2023-02-01T14:51:40.460000Z,2023-02-01T15:51:09.663000Z,2023-02-01T16:41:39.579000,2023-02-01T15:51:10.318661Z,3570,CJ8EQCN9,753,"English, Portuguese",Yes,29,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
3,63da7cafa8610a9ddf97b391,5b0710e7a84dcf0001beee8a,APPROVED,2023-02-01T14:52:36.216000Z,2023-02-01T15:49:19.742000Z,2023-02-01T16:49:27.447000,2023-02-01T15:49:20.121104Z,3404,CJ8EQCN9,1276,English,Yes,56,Female,Mixed,Singapore,United Kingdom,United Kingdom,English,No,Part-Time
0,63dd301295c2ccbf2bf6f606,5e61233d8f636e0228897cdd,APPROVED,2023-02-03T16:02:30.245000Z,2023-02-03T16:59:35.746000Z,2023-02-03T17:34:25.138000,2023-02-03T16:59:36.910534Z,3426,CJ8EQCN9,296,"English, Italian, Norwegian",Yes,26,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
1,63dd302888edb87a00f6f5f5,635274edf9fb7843c85d7bde,APPROVED,2023-02-03T16:04:27.947000Z,2023-02-03T17:39:18.331000Z,2023-02-03T17:46:06.907000,2023-02-03T17:39:18.979911Z,5691,CJ8EQCN9,11,"English, German",Yes,35,Female,White,United States,Germany,Germany,English,No,Unemployed (and job seeking)
