Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63dd301295c2ccbf2bf6f606,5e61233d8f636e0228897cdd,APPROVED,2023-02-03T16:02:30.245000Z,2023-02-03T16:59:35.746000Z,2023-02-03T17:34:25.138000,2023-02-03T16:59:36.910534Z,3426,CJ8EQCN9,296,"English, Italian, Norwegian",Yes,26,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
63dd302888edb87a00f6f5f5,635274edf9fb7843c85d7bde,APPROVED,2023-02-03T16:04:27.947000Z,2023-02-03T17:39:18.331000Z,2023-02-03T17:46:06.907000,2023-02-03T17:39:18.979911Z,5691,CJ8EQCN9,11,"English, German",Yes,35,Female,White,United States,Germany,Germany,English,No,Unemployed (and job seeking)
63de8027bc73096dd4f82a77,56d7623f04c67d000c7b9de6,APPROVED,2023-02-04T15:58:17.186000Z,2023-02-04T16:57:51.916000Z,2023-02-04T17:34:13.208000,2023-02-04T16:57:52.372105Z,3575,NOCODE,557,English,Yes,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63de84d61e611b4cf3d6699c,63ced4ebc2eff3a3a7c35b1e,APPROVED,2023-02-04T16:18:37.061000Z,2023-02-04T17:17:13.377000Z,2023-02-04T17:39:58.890000,2023-02-04T17:17:13.843813Z,3517,NOCODE,33,English,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63df88375c8e81d7e9fdc73d,5e0791aaf87bca10992b82b2,APPROVED,2023-02-05T10:43:06.884000Z,2023-02-05T11:40:19.389000Z,2023-02-05T12:21:27.410000,2023-02-05T11:40:19.903231Z,3433,CJ8EQCN9,575,"French, Romanian, English",Yes,26,Female,White,Romania,United Kingdom,Romania,Romanian,Yes,Full-Time
63df88411136eed841b49570,5eeb58ec4c86582a76ff55ec,APPROVED,2023-02-05T10:43:16.138000Z,2023-02-05T11:59:08.792000Z,2023-02-05T12:27:41.592000,2023-02-05T11:59:09.406861Z,4553,NOCODE,928,English,Yes,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63dfb7010122ef886f01ea59,5b5523d6d8348500012cfccf,APPROVED,2023-02-05T14:02:45.066000Z,2023-02-05T15:18:02.904000Z,2023-02-05T16:00:33.101000,2023-02-05T15:18:03.307049Z,4518,CJ8EQCN9,845,English,Yes,28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63dfb701deb545de6f3abc0e,5e60f63ee6385a000bcbffc9,APPROVED,2023-02-05T14:05:52.426000Z,2023-02-05T15:06:42.479000Z,2023-02-05T16:06:00.622000,2023-02-05T15:06:42.936439Z,3651,CJ8EQCN9,932,"English, Italian, French, Spanish",Yes,37,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
63e0da00a73f224ec0749972,5d7ebf9e93902b0001965912,APPROVED,2023-02-06T10:45:51.748000Z,2023-02-06T11:44:57.324000Z,2023-02-06T14:58:48.800000,2023-02-06T11:44:57.772146Z,3546,CJ8EQCN9,1147,English,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63e0da01ebd62f760a573df6,5b97f2375612b30001acc4c9,APPROVED,2023-02-06T10:45:07.276000Z,2023-02-06T11:32:20.209000Z,2023-02-06T14:53:37.633000,2023-02-06T11:32:20.641004Z,2833,CJ8EQCN9,1445,English,Yes,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
