Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63dd30909aea59c960571f26,616597ecca6e8d930673b1e4,APPROVED,2023-02-03T16:04:34.646000Z,2023-02-03T17:09:21.287000Z,2023-02-03T17:29:05.003000,2023-02-03T17:09:22.695923Z,3887,NOCODE,202,"English, Portuguese, Spanish, French",Yes,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63dd30a8ca61ef7933e3949a,60f47600a931759ef3d1a505,APPROVED,2023-02-03T16:04:59.177000Z,2023-02-03T16:54:17.560000Z,2023-02-03T17:14:41.471000,2023-02-03T16:54:19.807025Z,2959,CJ8EQCN9,53,"English, Portuguese",Yes,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63de7fbbc16bbb8408fdc749,59dbbdce5de9b000017ebf19,APPROVED,2023-02-04T15:55:20.724000Z,2023-02-04T17:16:21.625000Z,2023-02-04T17:29:40.669000,2023-02-04T17:16:22.129467Z,4861,CJ8EQCN9,380,"English, Spanish, Portuguese",Yes,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
63de7fbe97a865987baab4af,5eaa9250557519012c296463,APPROVED,2023-02-04T15:54:38.502000Z,2023-02-04T16:45:22.964000Z,2023-02-04T17:21:16.749000,2023-02-04T16:45:23.567810Z,3045,NOCODE,538,"Basque, Catalan, English, Spanish",Yes,29,Male,White,Spain,Spain,Spain,Basque,No,Full-Time
63df8890209a102de474996a,5ca9f8926025570001c872f3,APPROVED,2023-02-05T10:44:32.002000Z,2023-02-05T11:34:34.952000Z,2023-02-05T12:38:09.061000,2023-02-05T11:34:35.330354Z,3003,CJ8EQCN9,1707,English,Yes,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63df889075164f10c3e5b061,5b421b9ac2e3810001763252,APPROVED,2023-02-05T10:44:47.135000Z,2023-02-05T11:49:06.473000Z,2023-02-05T12:44:34.142000,2023-02-05T11:49:07.039808Z,3860,CJ8EQCN9,1705,English,Yes,35,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63dfb7dbc436db7fb101ea6e,5c5cad3e4ee81200018eafe2,APPROVED,2023-02-05T14:06:19.422000Z,2023-02-05T15:11:39.987000Z,2023-02-05T16:11:10.940000,2023-02-05T15:11:40.453703Z,3921,NOCODE,2714,English,Yes,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63dfb7e16aacf3fbf828a788,5d5193ce23e3ae0001f5f262,APPROVED,2023-02-05T14:08:03.744000Z,2023-02-05T15:05:29.143000Z,2023-02-05T16:20:21.636000,2023-02-05T15:05:29.484255Z,3446,CJ8EQCN9,376,"English, Finnish",Yes,30,Male,White,Finland,Finland,Finland,Finnish,No,Unemployed (and job seeking)
63e0d98e4a86572d5fa134c7,5ad63c167f70c10001904bc5,APPROVED,2023-02-06T10:42:26.776000Z,2023-02-06T12:29:29.563000Z,2023-02-06T14:49:06.180000,2023-02-06T12:29:40.364784Z,6423,CJ8EQCN9,644,"English, Italian",Yes,24,Female,White,Italy,Italy,Italy,Italian,Yes,Other
63e0e6560a9785a20dc1d80c,5f4e97aae4fe380a7bad99c7,APPROVED,2023-02-06T11:36:54.310000Z,2023-02-06T12:23:09.868000Z,2023-02-06T14:30:44.916000,2023-02-06T12:23:10.237867Z,2776,CJ8EQCN9,490,"English, Portuguese",Yes,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
