Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63ea0dbabf2a35f5e4c78ba5,62b2c25fa2e87e7ed2da2b87,APPROVED,2023-02-13T10:18:46.842000Z,2023-02-13T11:11:04.164000Z,2023-02-14T17:01:19.422000,2023-02-13T11:11:04.566706Z,3138,CJ8EQCN9,1183,English,Yes,30,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
63ea0dc7e7fe5d32aaca2c83,6131f6711c0d96f6f1fb04af,APPROVED,2023-02-13T10:15:35.161000Z,2023-02-13T11:20:57.081000Z,2023-02-14T16:55:03.395000,2023-02-13T11:20:57.772673Z,3922,NOCODE,433,"Danish, English, Italian, Spanish, French",Yes,33,Male,White,Romania,United Kingdom,DATA_EXPIRED,Romanian,DATA_EXPIRED,DATA_EXPIRED
63ea0dcfa4994eefe1f35f6b,6122555ae1a7fe434c1d8d91,APPROVED,2023-02-13T10:15:46.928000Z,2023-02-13T11:28:07.038000Z,2023-02-14T16:58:03.066000,2023-02-13T11:28:07.439863Z,4341,CJ8EQCN9,164,"English, Portuguese",Yes,24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
63ea0e8267017af130d6c5a5,5d0c1fd958b4040001b67b83,APPROVED,2023-02-13T10:19:12.551000Z,2023-02-13T11:09:33.808000Z,2023-02-14T17:04:49.296000,2023-02-13T11:09:34.222907Z,3022,NOCODE,17,"English, Japanese",Yes,26,Male,Asian,Canada,Canada,Korea,Korean,No,Other
63ea110eeabda0c750c78b9c,5e92f26b444572122fdfe44d,APPROVED,2023-02-13T10:29:34.994000Z,2023-02-13T11:32:06.338000Z,2023-02-14T17:15:29.792000,2023-02-13T11:32:06.694822Z,3752,CJ8EQCN9,630,"English, French, Portuguese, Spanish",Yes,35,Male,White,Portugal,Portugal,Portugal,English,No,DATA_EXPIRED
63ea135074a2768e54ca2c92,5ff81ab8d6f3fa546efbad4e,APPROVED,2023-02-13T10:39:12.020000Z,2023-02-13T11:43:47.255000Z,2023-02-14T17:18:17.198000,2023-02-13T11:43:47.871960Z,3876,CJ8EQCN9,160,"English, Portuguese",Yes,27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63eb656bc80d2ebf767cdad1,63d6d82c373e6d874185cfb9,APPROVED,2023-02-14T10:45:02.870000Z,2023-02-14T11:40:38.814000Z,2023-02-14T17:31:10.241000,2023-02-14T11:40:39.236509Z,3336,CJ8EQCN9,34,"Dutch, English",Yes,25,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Full-Time
63eb656c5013b7fc7b8080f2,637fefef5c620e2f66047f28,APPROVED,2023-02-14T10:41:48.168000Z,2023-02-14T11:44:10.313000Z,2023-02-14T17:22:25.809000,2023-02-14T11:44:10.643818Z,3743,CJ8EQCN9,124,"English, Lithuanian, Russian",Yes,29,Male,White,Lithuania,United Kingdom,Lithuania,Russian,No,Part-Time
63eb656cffe6797f5de49c69,5ed02ffb8090240f93ab74ad,APPROVED,2023-02-14T10:42:02.796000Z,2023-02-14T12:50:32.599000Z,2023-02-14T17:28:25.925000,2023-02-14T12:50:33.128066Z,7710,CJ8EQCN9,463,"English, Spanish",Yes,23,Female,White,Spain,Spain,Spain,Spanish,Yes,Other
63eca8f6fe6061bfce52278e,604b169fe4b7991ec08da3a6,APPROVED,2023-02-15T09:42:14.733000Z,2023-02-15T11:10:57.723000Z,2023-02-15T15:47:50.928000,2023-02-15T11:10:58.241850Z,5323,CJ8EQCN9,1491,"English, German",Yes,31,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
63eca8f7c1bda6e0a72a7c30,5b88002a7bb9e90001f0703f,APPROVED,2023-02-15T09:42:17.816000Z,2023-02-15T10:28:35.934000Z,2023-02-15T15:51:52.750000,2023-02-15T10:28:36.312576Z,2779,CJ8EQCN9,1127,English,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63eca8f8f55e64de4b1b14e3,57dd3b0e91b7fc0001493db9,APPROVED,2023-02-15T09:43:22.534000Z,2023-02-15T10:37:53.709000Z,2023-02-15T15:56:39.149000,2023-02-15T10:37:54.059290Z,3272,CJ8EQCN9,1247,English,Yes,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
