,subject,task,session_idx,score,sequence_id
0,5c44965c52eba20001da09ff,ada-prob,0,0.3447115004499538,65
1,5c44965c52eba20001da09ff,ada-prob,1,0.27366332568537216,92
2,5c44965c52eba20001da09ff,ada-prob,2,0.4398456449072152,24
3,5c44965c52eba20001da09ff,ada-prob,3,0.7900804365428322,9
4,5c44965c52eba20001da09ff,ada-prob,4,0.6165835799790771,33
5,5c44965c52eba20001da09ff,ada-prob,5,0.10322831141558475,63
6,5c44965c52eba20001da09ff,ada-prob,6,0.42519348265560053,39
7,5c44965c52eba20001da09ff,ada-prob,7,0.01149071702214939,5
8,5c44965c52eba20001da09ff,ada-prob,8,0.3690398024716868,94
9,5c44965c52eba20001da09ff,ada-prob,9,0.45296235680518215,47
10,5c44965c52eba20001da09ff,ada-prob,10,0.7466199104717348,89
11,5c44965c52eba20001da09ff,ada-prob,11,0.7900171260494675,13
12,5c44965c52eba20001da09ff,ada-prob,12,1.0,81
13,5c44965c52eba20001da09ff,ada-prob,13,0.9133272341614577,70
14,5c44965c52eba20001da09ff,ada-prob,14,0.42360989359649226,71
15,5c44965c52eba20001da09ff,ada-prob,15,0.7598854799499398,19
16,5c44965c52eba20001da09ff,ada-prob,16,0.4318201136547625,52
17,5c44965c52eba20001da09ff,ada-prob,17,0.5320132753582223,58
18,5c44965c52eba20001da09ff,ada-prob,18,0.26282924072189856,75
19,5c44965c52eba20001da09ff,ada-prob,19,1.0,42
20,5c44965c52eba20001da09ff,ada-prob,20,0.5853704463373747,45
21,5c44965c52eba20001da09ff,ada-prob,21,0.1426079110193895,98
22,5f14cff323b6b655cbc821c3,ada-prob,0,0.9694005093051502,68
23,5f14cff323b6b655cbc821c3,ada-prob,1,0.5831395980696278,89
24,5f14cff323b6b655cbc821c3,ada-prob,2,1.0,97
25,5f14cff323b6b655cbc821c3,ada-prob,3,0.7357454345071844,77
26,5f14cff323b6b655cbc821c3,ada-prob,4,1.0,66
27,5f14cff323b6b655cbc821c3,ada-prob,5,1.0,93
28,5f14cff323b6b655cbc821c3,ada-prob,6,0.7287494885996533,53
29,5f14cff323b6b655cbc821c3,ada-prob,7,0.5842588669559641,61
30,5f14cff323b6b655cbc821c3,ada-prob,8,0.6493906251182668,56
31,5f14cff323b6b655cbc821c3,ada-prob,9,0.6734611548568923,38
32,5f14cff323b6b655cbc821c3,ada-prob,10,1.0,25
33,5f14cff323b6b655cbc821c3,ada-prob,11,0.6234495518594957,40
34,5f14cff323b6b655cbc821c3,ada-prob,12,0.8633217176050035,42
35,5f14cff323b6b655cbc821c3,ada-prob,13,1.0,60
36,5f14cff323b6b655cbc821c3,ada-prob,14,0.8627663114486019,63
37,5f14cff323b6b655cbc821c3,ada-prob,15,1.0,59
38,5f14cff323b6b655cbc821c3,ada-prob,16,1.0,45
39,5f14cff323b6b655cbc821c3,ada-prob,17,0.6863382156601087,34
40,5f14cff323b6b655cbc821c3,ada-prob,18,1.0,79
41,5f14cff323b6b655cbc821c3,ada-prob,19,1.0,24
42,5f14cff323b6b655cbc821c3,ada-prob,20,1.0,37
43,5f14cff323b6b655cbc821c3,ada-prob,21,0.9288709355426648,11
44,582ee44408b46b00010dbb07,ada-prob,0,0.21094668259922578,12
45,582ee44408b46b00010dbb07,ada-prob,1,0.3523228082959753,17
46,582ee44408b46b00010dbb07,ada-prob,2,1.0,86
47,582ee44408b46b00010dbb07,ada-prob,3,1.0,44
48,582ee44408b46b00010dbb07,ada-prob,4,1.0,32
49,582ee44408b46b00010dbb07,ada-prob,5,0.8558824122004154,77
50,582ee44408b46b00010dbb07,ada-prob,6,0.7621209270961794,79
51,582ee44408b46b00010dbb07,ada-prob,7,0.7444467982808332,67
52,582ee44408b46b00010dbb07,ada-prob,8,1.0,30
53,582ee44408b46b00010dbb07,ada-prob,9,0.6075166759386417,92
54,582ee44408b46b00010dbb07,ada-prob,10,0.46123880930758504,46
55,582ee44408b46b00010dbb07,ada-prob,11,0.7100373021305243,95
56,582ee44408b46b00010dbb07,ada-prob,12,0.6211105175571308,56
57,582ee44408b46b00010dbb07,ada-prob,13,0.86182627557135,83
58,582ee44408b46b00010dbb07,ada-prob,14,0.7626021834643164,50
59,582ee44408b46b00010dbb07,ada-prob,15,0.6345569548018007,47
60,582ee44408b46b00010dbb07,ada-prob,16,0.7274188303245458,23
61,582ee44408b46b00010dbb07,ada-prob,17,0.3502194307921377,75
62,582ee44408b46b00010dbb07,ada-prob,18,0.9077851921664873,35
63,582ee44408b46b00010dbb07,ada-prob,19,1.0,21
64,582ee44408b46b00010dbb07,ada-prob,20,0.9044572742014902,37
65,582ee44408b46b00010dbb07,ada-prob,21,0.7974389071368702,62
66,5982eef79dfc3e00011d81e0,ada-prob,0,0.5113968001164747,68
67,5982eef79dfc3e00011d81e0,ada-prob,1,0.7644141032354719,75
68,5982eef79dfc3e00011d81e0,ada-prob,2,0.9910856840754436,65
69,5982eef79dfc3e00011d81e0,ada-prob,3,1.0,55
70,5982eef79dfc3e00011d81e0,ada-prob,4,1.0,74
71,5982eef79dfc3e00011d81e0,ada-prob,5,0.8679436329768726,85
72,5982eef79dfc3e00011d81e0,ada-prob,6,0.5996345830622013,47
73,5982eef79dfc3e00011d81e0,ada-prob,7,0.2979090678710001,76
74,5982eef79dfc3e00011d81e0,ada-prob,8,0.2451101764738283,7
75,5982eef79dfc3e00011d81e0,ada-prob,9,1.0,73
76,5982eef79dfc3e00011d81e0,ada-prob,10,0.6974923213176268,27
77,5982eef79dfc3e00011d81e0,ada-prob,11,0.019152241698683937,46
78,5982eef79dfc3e00011d81e0,ada-prob,12,0.6955093960675303,4
79,5982eef79dfc3e00011d81e0,ada-prob,13,0.24456496421844945,84
80,5982eef79dfc3e00011d81e0,ada-prob,14,0.29505423181270335,95
81,5982eef79dfc3e00011d81e0,ada-prob,15,0.6769947623399482,29
82,5982eef79dfc3e00011d81e0,ada-prob,16,0.9499468029582602,10
83,5982eef79dfc3e00011d81e0,ada-prob,17,1.0,81
84,5982eef79dfc3e00011d81e0,ada-prob,18,0.6482866427822584,94
85,5982eef79dfc3e00011d81e0,ada-prob,19,0.4889274572972868,31
86,5982eef79dfc3e00011d81e0,ada-prob,20,0.6255384093525419,93
87,5982eef79dfc3e00011d81e0,ada-prob,21,0.42821161606515035,58
88,61584d768979d942d5f2aec3,ada-prob,0,0.02169575418619197,45
89,61584d768979d942d5f2aec3,ada-prob,1,1.0,37
90,61584d768979d942d5f2aec3,ada-prob,2,0.6970168272329462,82
91,61584d768979d942d5f2aec3,ada-prob,3,0.3551601488239821,48
92,61584d768979d942d5f2aec3,ada-prob,4,0.18632667559617946,25
93,61584d768979d942d5f2aec3,ada-prob,5,0.9171008793322479,95
94,61584d768979d942d5f2aec3,ada-prob,6,0.24074669724170486,18
95,61584d768979d942d5f2aec3,ada-prob,7,0.6621095488466586,21
96,61584d768979d942d5f2aec3,ada-prob,8,0.16696888741153926,49
97,61584d768979d942d5f2aec3,ada-prob,9,0.6918641709843748,10
98,61584d768979d942d5f2aec3,ada-prob,10,1.0,58
99,61584d768979d942d5f2aec3,ada-prob,11,1.0,30
100,61584d768979d942d5f2aec3,ada-prob,12,0.4939442143032327,78
101,61584d768979d942d5f2aec3,ada-prob,13,0.10603764191940557,38
102,61584d768979d942d5f2aec3,ada-prob,14,0.5396150967383155,67
103,61584d768979d942d5f2aec3,ada-prob,15,0.43809674235069274,43
104,61584d768979d942d5f2aec3,ada-prob,16,1.0,97
105,61584d768979d942d5f2aec3,ada-prob,17,0.04921349911695452,52
106,61584d768979d942d5f2aec3,ada-prob,18,0.2173646642095135,96
107,61584d768979d942d5f2aec3,ada-prob,19,0.009352168431843933,88
108,61584d768979d942d5f2aec3,ada-prob,20,1.0,68
109,61584d768979d942d5f2aec3,ada-prob,21,0.6335272762102359,83
110,608930a9d426b23a7b53c710,ada-prob,0,0.07780195069678716,6
111,608930a9d426b23a7b53c710,ada-prob,1,0.8682324332121052,38
112,608930a9d426b23a7b53c710,ada-prob,2,1.0,84
113,608930a9d426b23a7b53c710,ada-prob,3,1.0,26
114,608930a9d426b23a7b53c710,ada-prob,4,0.3003676870473263,43
115,608930a9d426b23a7b53c710,ada-prob,5,0.7082732459882789,21
116,608930a9d426b23a7b53c710,ada-prob,6,0.7103038988927335,95
117,608930a9d426b23a7b53c710,ada-prob,7,0.6328971086770454,64
118,608930a9d426b23a7b53c710,ada-prob,8,0.6867713796641652,16
119,608930a9d426b23a7b53c710,ada-prob,9,0.7377745212340381,12
120,608930a9d426b23a7b53c710,ada-prob,10,0.8366149054568194,11
121,608930a9d426b23a7b53c710,ada-prob,11,0.4296743208725873,27
122,608930a9d426b23a7b53c710,ada-prob,12,0.5965118449323578,86
123,608930a9d426b23a7b53c710,ada-prob,13,0.9761348389283951,46
124,608930a9d426b23a7b53c710,ada-prob,14,0.8198504838832048,58
125,608930a9d426b23a7b53c710,ada-prob,15,0.531249164224619,57
126,608930a9d426b23a7b53c710,ada-prob,16,0.8844217828539217,76
127,608930a9d426b23a7b53c710,ada-prob,17,0.7273556375257231,34
128,608930a9d426b23a7b53c710,ada-prob,18,0.7354092744357207,52
129,608930a9d426b23a7b53c710,ada-prob,19,0.8752221856005966,39
130,608930a9d426b23a7b53c710,ada-prob,20,0.6880918010899282,93
131,608930a9d426b23a7b53c710,ada-prob,21,0.8133689001054348,87
132,5eaecb0824839e59ed3523eb,ada-prob,0,0.9555929832976893,93
133,5eaecb0824839e59ed3523eb,ada-prob,1,1.0,30
134,5eaecb0824839e59ed3523eb,ada-prob,2,0.827798870365402,18
135,5eaecb0824839e59ed3523eb,ada-prob,3,0.740357631519634,62
136,5eaecb0824839e59ed3523eb,ada-prob,4,0.8856541767676259,63
137,5eaecb0824839e59ed3523eb,ada-prob,5,0.7055677774514304,33
138,5eaecb0824839e59ed3523eb,ada-prob,6,0.8574204235349209,49
139,5eaecb0824839e59ed3523eb,ada-prob,7,0.5810567085737172,1
140,5eaecb0824839e59ed3523eb,ada-prob,8,0.5123048128637383,95
141,5eaecb0824839e59ed3523eb,ada-prob,9,1.0,44
142,5eaecb0824839e59ed3523eb,ada-prob,10,0.6500567020018146,31
143,5eaecb0824839e59ed3523eb,ada-prob,11,0.8083233387485175,15
144,5eaecb0824839e59ed3523eb,ada-prob,12,0.9565120169072225,83
145,5eaecb0824839e59ed3523eb,ada-prob,13,0.6905468071088599,38
146,5eaecb0824839e59ed3523eb,ada-prob,14,0.7136567509113924,78
147,5eaecb0824839e59ed3523eb,ada-prob,15,0.9751202255467885,66
148,5eaecb0824839e59ed3523eb,ada-prob,16,1.0,48
149,5eaecb0824839e59ed3523eb,ada-prob,17,1.0,45
150,5eaecb0824839e59ed3523eb,ada-prob,18,0.9670793306070773,26
151,5eaecb0824839e59ed3523eb,ada-prob,19,0.4853268444839787,5
152,5eaecb0824839e59ed3523eb,ada-prob,20,0.4779722685694241,71
153,5eaecb0824839e59ed3523eb,ada-prob,21,0.8665608139457253,42
154,5ad63c167f70c10001904bc5,ada-prob,0,0.9909009569375833,79
155,5ad63c167f70c10001904bc5,ada-prob,1,0.14864023681670255,31
156,5ad63c167f70c10001904bc5,ada-prob,2,0.7829147869733952,35
157,5ad63c167f70c10001904bc5,ada-prob,3,0.643155850711431,57
158,5ad63c167f70c10001904bc5,ada-prob,4,0.5482176302633492,54
159,5ad63c167f70c10001904bc5,ada-prob,5,0.6405167530265861,42
160,5ad63c167f70c10001904bc5,ada-prob,6,0.07925522717004586,49
161,5ad63c167f70c10001904bc5,ada-prob,7,0.59449168576758,48
162,5ad63c167f70c10001904bc5,ada-prob,8,0.6182201746245948,64
163,5ad63c167f70c10001904bc5,ada-prob,9,0.3195123520848453,80
164,5ad63c167f70c10001904bc5,ada-prob,10,0.8650938421108443,20
165,5ad63c167f70c10001904bc5,ada-prob,11,0.612876884741219,70
166,5ad63c167f70c10001904bc5,ada-prob,12,0.5300999145786918,36
167,5ad63c167f70c10001904bc5,ada-prob,13,0.7990612799491011,12
168,5ad63c167f70c10001904bc5,ada-prob,14,0.9298566381344232,60
169,5ad63c167f70c10001904bc5,ada-prob,15,0.7008434385241863,82
170,5ad63c167f70c10001904bc5,ada-prob,16,0.6129068366306076,61
171,5ad63c167f70c10001904bc5,ada-prob,17,0.5263118471961603,6
172,5ad63c167f70c10001904bc5,ada-prob,18,0.5544223966827365,13
173,5ad63c167f70c10001904bc5,ada-prob,19,0.6968507556099731,73
174,5ad63c167f70c10001904bc5,ada-prob,20,0.842470505957936,66
175,5ad63c167f70c10001904bc5,ada-prob,21,0.9248494815760339,0
176,63d4168245b594c16fbd1929,ada-prob,0,0.8030148007902252,64
177,63d4168245b594c16fbd1929,ada-prob,1,1.0,7
178,63d4168245b594c16fbd1929,ada-prob,2,1.0,4
179,63d4168245b594c16fbd1929,ada-prob,3,1.0,30
180,63d4168245b594c16fbd1929,ada-prob,4,0.8968844522933219,13
181,63d4168245b594c16fbd1929,ada-prob,5,0.826421331247055,131
182,63d4168245b594c16fbd1929,ada-prob,6,1.0,47
183,63d4168245b594c16fbd1929,ada-prob,7,0.542547740260683,18
184,63d4168245b594c16fbd1929,ada-prob,8,0.8424100343809751,146
185,63d4168245b594c16fbd1929,ada-prob,9,0.6794395572111283,117
186,63d4168245b594c16fbd1929,ada-prob,10,0.46927940838012666,130
187,63d4168245b594c16fbd1929,ada-prob,11,0.519939873220609,26
188,63d4168245b594c16fbd1929,ada-prob,12,0.9842824187287393,101
189,63d4168245b594c16fbd1929,ada-prob,13,0.41891565050585594,39
190,63d4168245b594c16fbd1929,ada-prob,14,1.0,85
191,63d4168245b594c16fbd1929,ada-prob,15,0.5762180151755076,25
192,63d4168245b594c16fbd1929,ada-prob,16,0.8413142122467594,56
193,63d4168245b594c16fbd1929,ada-prob,17,0.2758603216760907,143
194,63d4168245b594c16fbd1929,ada-prob,18,0.8217262170688943,69
195,63d4168245b594c16fbd1929,ada-prob,19,0.8765960539829916,44
196,63d4168245b594c16fbd1929,ada-prob,20,0.8470863554964444,136
197,63d4168245b594c16fbd1929,ada-prob,21,0.5074116566825128,38
198,608e7f8c603447d031579fb4,ada-prob,0,0.9862773228067445,12
199,608e7f8c603447d031579fb4,ada-prob,1,0.569333846028571,62
200,608e7f8c603447d031579fb4,ada-prob,2,0.4297645309069593,109
201,608e7f8c603447d031579fb4,ada-prob,3,0.9823916966152881,116
202,608e7f8c603447d031579fb4,ada-prob,4,1.0,86
