,taskName,nSessions,nTrials,pC,std,meanMin,meanMax,minOddChange,minRunLength,maxRunLength,applyMinForLastRunLength,sessionIndex,trialIndex,mean,didMeanChange,outcome,p1Min,p1Max,p1,didP1Change,idealObserverEstimate
0,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,0,0.4338438418937016,True,0.3882486154980576,,,,,
1,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,1,0.4338438418937016,False,0.4944594464822916,,,,,
2,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,2,0.4338438418937016,False,0.4494039356955907,,,,,
3,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,3,0.4338438418937016,False,0.3995074928502697,,,,,
4,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,4,0.4338438418937016,False,0.43345686018245144,,,,,
5,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,5,0.5469518627566013,True,0.546000719369691,,,,,
6,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,6,0.5469518627566013,False,0.579533823681138,,,,,
7,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,7,0.5469518627566013,False,0.493421589620725,,,,,
8,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,8,0.5469518627566013,False,0.5793506473393384,,,,,
9,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,9,0.5469518627566013,False,0.5610731875537909,,,,,
10,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,10,0.5469518627566013,False,0.5540016573351451,,,,,
11,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,11,0.5469518627566013,False,0.5657378561511898,,,,,
12,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,12,0.5469518627566013,False,0.4853375851598432,,,,,
13,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,13,0.5469518627566013,False,0.5945073286417842,,,,,
14,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,14,0.5469518627566013,False,0.536481098754528,,,,,
15,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,15,0.5469518627566013,False,0.5688415282873986,,,,,
16,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,16,0.5469518627566013,False,0.6105943726690974,,,,,
17,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,17,0.21230955087618703,True,0.22925924488476526,,,,,
18,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,18,0.21230955087618703,False,0.19111347158547642,,,,,
19,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,19,0.21230955087618703,False,0.19549815486984623,,,,,
20,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,20,0.25848119126790303,True,0.3073549317679401,,,,,
21,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,21,0.25848119126790303,False,0.2599015373879785,,,,,
22,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,22,0.25848119126790303,False,0.23481437223345283,,,,,
23,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,23,0.25848119126790303,False,0.2704326862681021,,,,,
24,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,24,0.7405956549404293,True,0.7390165715592083,,,,,
25,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,25,0.7405956549404293,False,0.771826128275425,,,,,
26,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,26,0.7405956549404293,False,0.743169714515625,,,,,
27,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,27,0.7405956549404293,False,0.7621133909153828,,,,,
28,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,28,0.7405956549404293,False,0.7555448212934893,,,,,
29,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,29,0.874609260575518,True,0.9003249411520979,,,,,
30,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,30,0.874609260575518,False,0.8643542103615426,,,,,
31,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,31,0.874609260575518,False,0.8983144395773899,,,,,
32,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,32,0.874609260575518,False,0.9459334843113413,,,,,
33,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,33,0.874609260575518,False,0.8878885337001923,,,,,
34,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,34,0.874609260575518,False,0.8273915504943063,,,,,
35,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,35,0.874609260575518,False,0.8911887156195457,,,,,
36,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,36,0.35073934252739425,True,0.29931964193016536,,,,,
37,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,37,0.35073934252739425,False,0.3358008925203646,,,,,
38,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,38,0.35073934252739425,False,0.35616959953675353,,,,,
39,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,39,0.35073934252739425,False,0.3397373625184618,,,,,
40,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,40,0.35073934252739425,False,0.38750318734721306,,,,,
41,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,41,0.6538580925354512,True,0.6040666735567708,,,,,
42,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,42,0.6538580925354512,False,0.6803171894775506,,,,,
43,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,43,0.6538580925354512,False,0.6114783006403516,,,,,
44,ada-pos,100,75,0.1,0.03333333333333333,0.1,0.9,1.0,3,,False,0,44,0.6538580925354512,False,0.605803408700697,,,,,
